act_step,I_Z_Y,I_dZ_Y
1,0.005832768462675386,
2,0.006937093667080063,0.008326194770586826
3,0.006045386994256385,0.014362015350821267
4,0.006454400966096341,0.021921886246510702
5,0.006507684897246735,0.02512340592011908
6,0.007033090218794391,0.025997255289049725
7,0.006994420449753513,0.02659272856653594
8,0.005764211037377592,0.02673195228710723
9,0.006282617762693621,0.026935486388111052
10,0.006102384002369843,0.02674765539562296
11,0.006236370212619885,0.024923666318053872
12,0.005854522688278685,0.026443390689145918
13,0.005326014993987882,0.02631351609872823
14,0.006153854650912588,0.026006366761242017
15,0.006466078464829134,0.025975718552833982
16,0.006074115527899354,0.026437442706166436
