act_step,I_Z_Y,I_dZ_Y
1,0.012109710058224227,
2,0.012913894740868704,0.013947582697527773
3,0.01289550683492804,0.01574306346000433
4,0.013066539317956769,0.0175351889267571
5,0.013092901263904905,0.01833281283272756
6,0.013105303769343468,0.018811495895546638
7,0.013080248318875188,0.018681431272817135
8,0.013046353154011274,0.01925660015686235
9,0.013011940245503695,0.019536514351468658
10,0.012998414894193459,0.019719699711857504
11,0.012998225988611452,0.01981416665939347
12,0.012980402786488415,0.019720209196696713
13,0.01297233860108385,0.01961773307626347
14,0.012952876321281065,0.019802271901730843
15,0.012936483696170441,0.019755136786569694
16,0.012917432540960743,0.020007245740661237
