act_step,I_Z_Y,I_dZ_Y
1,0.008452134729157956,
2,0.008922344312655692,0.010011822138330295
3,0.008864954202962877,0.00902077953349345
4,0.008776690300248607,0.014922436284083185
5,0.008626697329642191,0.016972945681734908
6,0.008706982679709513,0.016847239541944115
7,0.0084450773086987,0.01686147067594801
8,0.008520412924217569,0.018006456980611762
9,0.008608125985961251,0.018993784694091742
10,0.008701445745047637,0.018703054235379435
11,0.008857208200758387,0.018821475498424167
12,0.008844262430663413,0.02028228190840453
13,0.008666173592955823,0.018251315827972014
14,0.008981195441038842,0.01718219476317473
15,0.008838154272876347,0.019190059386064773
16,0.008991435427908007,0.02015682205154201
